instruction,intent,instruction_hi,intent_hi
I want help to cancle purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने के लिए {{ऑर्डर नंबर}} को रद्द करना चाहता हूं,आदेश रद्द
what do i need to do to cancel order {{Order Number}},cancel_order,आदेश {{ऑर्डर नंबर}} को रद्द करने के लिए मुझे क्या करने की आवश्यकता है,आदेश रद्द
I try to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने का प्रयास करता हूं {{ऑर्डर नंबर}},आदेश रद्द
"I can no longer afford order {{Order Number}}, can I cancel it?",cancel_order,"मैं अब आदेश नहीं दे सकता {{ऑर्डर नंबर}}, क्या मैं इसे रद्द कर सकता हूं?",आदेश रद्द
i want help to cancel purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने के लिए {{ऑर्डर नंबर}} को रद्द करना चाहता हूं,आदेश रद्द
I need help cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
how to cancel purchase {{Order Number}}?,cancel_order,खरीदें {{ऑर्डर नंबर}} कैसे रद्द करें?,आदेश रद्द
i bought somegoddamn item how do i cancel order {{Order Number}},cancel_order,मैंने कुछ Goddamn आइटम खरीदे कि मैं कैसे आदेश रद्द करूं {{ऑर्डर नंबर}}},आदेश रद्द
"I bought some product, I want to cancel order {{Order Number}}",cancel_order,"मैंने कुछ उत्पाद खरीदा, मैं आदेश {{ऑर्डर नंबर}} को रद्द करना चाहता हूं",आदेश रद्द
need assistance with canceling order {{Order Number}},cancel_order,ऑर्डर रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i do not knwo how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
"I have to cancel purchase {{Order Number}}, can I get some help?",cancel_order,"मुझे खरीद {{ऑर्डर नंबर}} को रद्द करना होगा, क्या मुझे कुछ मदद मिल सकती है?",आदेश रद्द
is it possible to cancel purchase {{Order Number}}?,cancel_order,क्या खरीद को रद्द करना संभव है {{ऑर्डर नंबर}}?,आदेश रद्द
help cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
cancel order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
icannot afford order {{Order Number}} could i cancel it,cancel_order,मैं आदेश नहीं दे सकता {{ऑर्डर नंबर}} क्या मैं इसे रद्द कर सकता हूं,आदेश रद्द
need help cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
what do I need to do to cancel purchase {{Order Number}}?,cancel_order,खरीद को रद्द करने के लिए मुझे क्या करने की आवश्यकता है {{ऑर्डर नंबर}}?,आदेश रद्द
i cannot pay for puchase {{Order Number}} how could i cancel it,cancel_order,"मैं {{ऑर्डर नंबर}} खरीदने के लिए भुगतान नहीं कर सकता, मैं इसे कैसे रद्द कर सकता हूं",आदेश रद्द
I want help cancellkng purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने में मदद करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
i need help with cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I need help with cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
how can I cancel order {{Order Number}}?,cancel_order,मैं ऑर्डर {{ऑर्डर नंबर}} कैसे रद्द कर सकता हूं?,आदेश रद्द
I need assistance cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i want assistance tocancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} रद्द करने के लिए सहायता चाहता हूं,आदेश रद्द
"I purchased some articles, cancel order {{Order Number}}",cancel_order,"मैंने कुछ लेख खरीदे, ऑर्डर रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
i nee help to cancel order {{Order Number}},cancel_order,मुझे ऑर्डर {{ऑर्डर नंबर}} को रद्द करने में सहायता की आवश्यकता है,आदेश रद्द
problem with cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
I don't know what to do to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि आदेश {{ऑर्डर नंबर}} को रद्द करने के लिए क्या करना है,आदेश रद्द
"I don't want this article, cancel order {{Order Number}}",cancel_order,"मुझे यह लेख नहीं चाहिए, आदेश रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
I need help with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
want assistance cancelling order {{Order Number}},cancel_order,सहायता रद्द करना चाहते हैं आदेश {{ऑर्डर नंबर}},आदेश रद्द
I need assistance cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
can uhelp me cancelliung order {{Order Number}},cancel_order,क्या आप मुझे आदेश रद्द करने में मदद कर सकते हैं {{ऑर्डर नंबर}},आदेश रद्द
canceling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
cancel order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
I can no longer pay for purchase {{Order Number}},cancel_order,मैं अब {{ऑर्डर नंबर}} खरीदने के लिए भुगतान नहीं कर सकता,आदेश रद्द
canceling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
can you help me to cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
I need assistance cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
problems with cnceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
where could I cancel purchase {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कहां रद्द कर सकता हूं?,आदेश रद्द
canmcel order {{Order Number}},cancel_order,रद्द करें आदेश {{ऑर्डर नंबर}},आदेश रद्द
I want assistance cancelling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
I do not know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद को रद्द करने का तरीका {{ऑर्डर नंबर}},आदेश रद्द
I would like to cancel purchase {{Order Number}},cancel_order,मैं खरीद {{ऑर्डर नंबर}} को रद्द करना चाहूंगा,आदेश रद्द
I do not know how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
problems with cancelling order {{Order Number}},cancel_order,आदेश रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
I need help with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में मदद चाहिए {{ऑर्डर नंबर}},आदेश रद्द
i dont know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि कैसे खरीदें {{ऑर्डर नंबर}},आदेश रद्द
help to cancel purchase {{Order Number}},cancel_order,खरीद रद्द करने में सहायता {{ऑर्डर नंबर}},आदेश रद्द
i purchased something how to cancel order {{Order Number}},cancel_order,मैंने कुछ खरीदा है कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
want asistance canceling order {{Order Number}},cancel_order,Asistance रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
question about cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के बारे में प्रश्न {{ऑर्डर नंबर}},आदेश रद्द
is it possible to cancel order {{Order Number}},cancel_order,क्या आदेश {{ऑर्डर नंबर}} को रद्द करना संभव है,आदेश रद्द
i cant afford order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} नहीं कर सकता,आदेश रद्द
"I can no longer afford purchase {{Order Number}}, cancel it",cancel_order,"मैं अब खरीद नहीं कर सकता {{ऑर्डर नंबर}}, इसे रद्द करें",आदेश रद्द
I don't want purchase {{Order Number}},cancel_order,मैं {{ऑर्डर नंबर}} खरीद नहीं चाहता,आदेश रद्द
I have problems with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
i dont want order {{Order Number}},cancel_order,मैं आदेश {{आदेश संख्या}} नहीं चाहता,आदेश रद्द
i want assistance canceling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
i dont know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि कैसे खरीदें {{ऑर्डर नंबर}},आदेश रद्द
is it possible to cancel order {{Order Number}}?,cancel_order,क्या ऑर्डर {{ऑर्डर नंबर}} को रद्द करना संभव है?,आदेश रद्द
i do not know how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
assistance to cancel purchase {{Order Number}},cancel_order,खरीद रद्द करने के लिए सहायता {{ऑर्डर नंबर}},आदेश रद्द
I need help with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I have a question about canceling purchase {{Order Number}},cancel_order,मेरे पास खरीद रद्द करने के बारे में एक प्रश्न है {{ऑर्डर नंबर}},आदेश रद्द
"I ordered some products, how to cancel purchase {{Order Number}}?",cancel_order,"मैंने कुछ उत्पादों का आदेश दिया, खरीद {{ऑर्डर नंबर}} कैसे रद्द करें?",आदेश रद्द
"I can't afford order {{Order Number}}, how can I cancel it?",cancel_order,"मैं आदेश {{ऑर्डर नंबर}} नहीं खरीद सकता, मैं इसे कैसे रद्द कर सकता हूं?",आदेश रद्द
I do not want purchase {{Order Number}},cancel_order,मैं {{ऑर्डर नंबर}} खरीद नहीं चाहता,आदेश रद्द
i can no longer pay for order {{Order Number}},cancel_order,मैं अब आदेश के लिए भुगतान नहीं कर सकता {{ऑर्डर नंबर}},आदेश रद्द
I do not know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद को रद्द करने का तरीका {{ऑर्डर नंबर}},आदेश रद्द
"I bought some item, cancel order {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे, ऑर्डर रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
want assistance cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने की सहायता चाहते हैं {{ऑर्डर नंबर}}},आदेश रद्द
i cannot pay for my last item cancel order {{Order Number}},cancel_order,मैं अपने अंतिम आइटम के लिए भुगतान नहीं कर सकता आदेश {{ऑर्डर नंबर}},आदेश रद्द
I have to cancel order {{Order Number}},cancel_order,मुझे ऑर्डर को रद्द करना होगा {{ऑर्डर नंबर}},आदेश रद्द
I need help with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
can uhelp me canceling order {{Order Number}},cancel_order,क्या आप मुझे आदेश रद्द करने में मदद कर सकते हैं {{ऑर्डर नंबर}},आदेश रद्द
I don't know what to do to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद को रद्द करने के लिए क्या करना है {{ऑर्डर नंबर}},रद्द करें_ऑर्डर
is it possible to cancel order {{Order Number}} ?,cancel_order,क्या ऑर्डर {{ऑर्डर नंबर}} को रद्द करना संभव है?,आदेश रद्द
I have a problem with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
i dont knwo how i can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं {{ऑर्डर नंबर}} खरीद को कैसे रद्द कर सकता हूं,आदेश रद्द
I need assistance with canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
assistance with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
i do not know what to do to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद को रद्द करने के लिए क्या करना है {{ऑर्डर नंबर}},आदेश रद्द
I can no longer pay for purchase {{Order Number}},cancel_order,मैं अब {{ऑर्डर नंबर}} खरीदने के लिए भुगतान नहीं कर सकता,आदेश रद्द
I need help cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
can you help me cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}}?,आदेश रद्द
I do not know how to cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि खरीद को रद्द करने का तरीका {{ऑर्डर नंबर}},आदेश रद्द
"I can't afford order {{Order Number}}, I need help to cancel it",cancel_order,"मैं आदेश नहीं दे सकता {{ऑर्डर नंबर}}, मुझे इसे रद्द करने में मदद की ज़रूरत है",आदेश रद्द
assistance with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ सहायता {{ऑर्डर नंबर}},आदेश रद्द
need help cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
need help with canceling order {{Order Number}},cancel_order,आदेश रद्द करने के साथ मदद की आवश्यकता है {{आदेश संख्या}}},आदेश रद्द
i want assistance canceling order {{Order Number}},cancel_order,मैं सहायता रद्द करने के आदेश को रद्द करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
want help to cancel order {{Order Number}},cancel_order,आदेश {{ऑर्डर नंबर}} को रद्द करने में मदद करना चाहते हैं,आदेश रद्द
"I purchased some items, cancel order {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे, ऑर्डर रद्द करें {{ऑर्डर नंबर}}",आदेश रद्द
camceling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
how can I cancel purchase {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कैसे रद्द कर सकता हूं?,आदेश रद्द
where can I cancel purchase {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कहां रद्द कर सकता हूं?,आदेश रद्द
where culd i cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} को कहां रद्द कर सकता हूं,आदेश रद्द
help with cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
I can't afford order {{Order Number}},cancel_order,मैं आदेश नहीं दे सकता {{ऑर्डर नंबर}},आदेश रद्द
help me cancel purchase {{Order Number}},cancel_order,मुझे खरीदने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
I dp not know how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} को कैसे रद्द करें,आदेश रद्द
i can no longer arford purchase {{Order Number}},cancel_order,मैं अब Arford खरीद नहीं कर सकता {{ऑर्डर नंबर}},आदेश रद्द
assistance to cancel purchased {{Order Number}},cancel_order,खरीदे गए {{ऑर्डर नंबर}} को रद्द करने के लिए सहायता,आदेश रद्द
help  with cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
want assistance to cancel order {{Order Number}},cancel_order,आदेश रद्द करने के लिए सहायता चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
question about canceling a bloody purchase,cancel_order,एक खूनी खरीद को रद्द करने के बारे में प्रश्न,आदेश रद्द
iwant assistance canceling order {{Order Number}},cancel_order,iwant सहायता रद्द करने के आदेश {{आदेश संख्या}},आदेश रद्द
want help canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करना चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
i dont know how i can cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि मैं ऑर्डर को कैसे रद्द कर सकता हूं {{ऑर्डर नंबर}},आदेश रद्द
"I purchased some items, help me cancel order {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे, मुझे ऑर्डर रद्द करने में मदद करें {{ऑर्डर नंबर}}",आदेश रद्द
I want assistance cancelling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
help with canceling purchase {{Order Number}},cancel_order,खरीद को रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
problems with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}},आदेश रद्द
I want assistance canceling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
I need help cancelnig purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
i want assistance to cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} रद्द करने के लिए सहायता चाहता हूं,आदेश रद्द
is it possible to cancel purchase {{Order Number}}?,cancel_order,क्या खरीद को रद्द करना संभव है {{ऑर्डर नंबर}}?,आदेश रद्द
assistance canceling order {{Order Number}},cancel_order,सहायता रद्द करने का आदेश {{ऑर्डर नंबर}},आदेश रद्द
I need assistance to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
I am trying to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की कोशिश कर रहा हूं {{ऑर्डर नंबर}}},आदेश रद्द
I nee assistance to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने के लिए nee सहायता {{ऑर्डर नंबर}},आदेश रद्द
help cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
I want assistance canceling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने की सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
can you help me to cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
need assistance witgh cancelling order {{Order Number}},cancel_order,ऑर्डर रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
can you help me cancelling purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
want assistance to cancel order  {{Order Number}},cancel_order,आदेश रद्द करने के लिए सहायता चाहते हैं {{ऑर्डर नंबर}},आदेश रद्द
I want help cancelling purchase {{Order Number}},cancel_order,मैं खरीद को रद्द करने में मदद करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
problem with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
"I bought some item, cancel purchase {{Order Number}}",cancel_order,"मैंने कुछ आइटम खरीदे, खरीदें {{ऑर्डर नंबर}}",आदेश रद्द
I don't know how I can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं {{ऑर्डर नंबर}} खरीद को कैसे रद्द कर सकता हूं,आदेश रद्द
how do i cancel purchase {{Order Number}},cancel_order,मैं खरीद {{ऑर्डर नंबर}} कैसे रद्द करूं,आदेश रद्द
I want help canceling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
I need assistance with canceling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने के साथ सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i need help cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
how can i cancel purchase {{Order Number}},cancel_order,मैं खरीद {{ऑर्डर नंबर}} कैसे रद्द कर सकता हूं,आदेश रद्द
I need assistance canceling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
i want assistance to cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} रद्द करने के लिए सहायता चाहता हूं,आदेश रद्द
i dont know how to cancel order {{Order Number}},cancel_order,मुझे नहीं पता कि ऑर्डर {{ऑर्डर नंबर}} कैसे रद्द करें,आदेश रद्द
what do I have to do to cancel purchase {{Order Number}}?,cancel_order,खरीद को रद्द करने के लिए मुझे क्या करना होगा {{ऑर्डर नंबर}}?,आदेश रद्द
how do I cancel purchae {{Order Number}}?,cancel_order,मैं खरीद {{ऑर्डर नंबर}} कैसे रद्द करूं?,आदेश रद्द
I can't afford order {{Order Number}},cancel_order,मैं आदेश नहीं दे सकता {{ऑर्डर नंबर}},आदेश रद्द
I don't know how I could cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं {{ऑर्डर नंबर}} खरीद को कैसे रद्द कर सकता हूं,आदेश रद्द
I have a problem with cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर {{ऑर्डर नंबर}} रद्द करने में समस्या है,आदेश रद्द
I want help canceling purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने में मदद चाहता हूं {{ऑर्डर नंबर}}},आदेश रद्द
help to cancel order {{Order Number}},cancel_order,ऑर्डर {{ऑर्डर नंबर}} रद्द करने में मदद करें,आदेश रद्द
problem with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
I want assistance canceling order {{Order Number}},cancel_order,मैं सहायता रद्द करने के आदेश को रद्द करना चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
I can't afford purchase {{Order Number}},cancel_order,मैं खरीद नहीं कर सकता {{ऑर्डर नंबर}},आदेश रद्द
camceling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
"I bought some articles, how to cancel order {{Order Number}}?",cancel_order,"मैंने कुछ लेख खरीदे, ऑर्डर {{ऑर्डर नंबर}} कैसे रद्द करें?",आदेश रद्द
i do not want purchase {{Order Number}},cancel_order,मैं {{ऑर्डर नंबर}} खरीद नहीं चाहता,आदेश रद्द
problem with cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्या {{ऑर्डर नंबर}},आदेश रद्द
I need assistance cancelling order {{Order Number}},cancel_order,मुझे ऑर्डर रद्द करने में सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
help me to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}}},आदेश रद्द
I don't know how I can camcel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद सकता हूं {{ऑर्डर नंबर}}},आदेश रद्द
could uhelp me cancelin order {{Order Number}},cancel_order,क्या आप मुझे आदेश रद्द करने में मदद कर सकते हैं {{ऑर्डर नंबर}},आदेश रद्द
i need help cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
I want help to cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} को रद्द करने में मदद चाहता हूं,आदेश रद्द
i want assistance to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने के लिए सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
what do I have to do to cancel purchase {{Order Number}}?,cancel_order,खरीद को रद्द करने के लिए मुझे क्या करना होगा {{ऑर्डर नंबर}}?,आदेश रद्द
cancel purchase  {{Order Number}},cancel_order,खरीदें {{ऑर्डर नंबर}},आदेश रद्द
I am trying to cancel order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} रद्द करने का प्रयास कर रहा हूं,आदेश रद्द
i do not know how i can canmcel order {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे ऑर्डर कर सकता हूं {{ऑर्डर नंबर}}},आदेश रद्द
help me cancelling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
have problems with canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने के साथ समस्याएं {{ऑर्डर नंबर}}},आदेश रद्द
i dont want order {{Order Number}},cancel_order,मैं आदेश {{आदेश संख्या}} नहीं चाहता,आदेश रद्द
i need assistance canceling roder {{Order Number}},cancel_order,मुझे रोडर {{ऑर्डर नंबर}} को रद्द करने में सहायता की आवश्यकता है,आदेश रद्द
can uhelp me canceling purchase {{Order Number}},cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}},आदेश रद्द
cancelling order {{Order Number}},cancel_order,रद्द करना आदेश {{ऑर्डर नंबर}},आदेश रद्द
can you help me canceling order {{Order Number}}?,cancel_order,क्या आप मुझे आदेश {{ऑर्डर नंबर}} रद्द करने में मदद कर सकते हैं?,आदेश रद्द
"I can't afford this item, I try to cancel order {{Order Number}}",cancel_order,"मैं इस आइटम को बर्दाश्त नहीं कर सकता, मैं आदेश {{ऑर्डर नंबर}} को रद्द करने का प्रयास करता हूं",आदेश रद्द
i dont know how i can cancel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि मैं कैसे खरीद सकता हूं {{ऑर्डर नंबर}}},आदेश रद्द
I can't pay  for order {{Order Number}},cancel_order,मैं आदेश {{ऑर्डर नंबर}} के लिए भुगतान नहीं कर सकता,आदेश रद्द
I have a problem with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने में समस्या है {{ऑर्डर नंबर}},आदेश रद्द
I have a question about canceling order {{Order Number}},cancel_order,मेरे पास आदेश रद्द करने के बारे में एक प्रश्न है {{ऑर्डर नंबर}},आदेश रद्द
i need help with cancelling purchase {{Order Number}},cancel_order,मुझे खरीद को रद्द करने में मदद चाहिए {{ऑर्डर नंबर}}},आदेश रद्द
help me canceling purchase {{Order Number}},cancel_order,खरीद रद्द करने में मदद करें {{ऑर्डर नंबर}},आदेश रद्द
i dont know how to cncel purchase {{Order Number}},cancel_order,मुझे नहीं पता कि कैसे खरीदें {{ऑर्डर नंबर}} को रद्द करें,आदेश रद्द
can you help me to cancel purchase {{Order Number}}?,cancel_order,क्या आप मुझे {{ऑर्डर नंबर}} खरीदने में मदद कर सकते हैं?,आदेश रद्द
i want assistance to cancel purchase {{Order Number}},cancel_order,मैं खरीद रद्द करने के लिए सहायता चाहता हूं {{ऑर्डर नंबर}},आदेश रद्द
have a problem with canceling order {{Order Number}},cancel_order,आदेश रद्द करने के साथ एक समस्या है {{आदेश संख्या}},आदेश रद्द
assistance canceling purchase {{Order Number}},cancel_order,सहायता रद्द खरीद {{ऑर्डर नंबर}},आदेश रद्द
can ya help me cancel purchase {{Order Number}},cancel_order,क्या आप मुझे खरीदने में मदद कर सकते हैं {{ऑर्डर नंबर}}},आदेश रद्द
i need assistance to cancel purchase {{Order Number}},cancel_order,मुझे खरीद रद्द करने के लिए सहायता की आवश्यकता है {{ऑर्डर नंबर}},आदेश रद्द
